logTimestamp,faction,planet,regionName,reason,pointValue,multiplier,source
"Feb 22, 2026 @ 19:23:18.000",Imperial,naboo,gcw_region_naboo_4,factional presence,10,1,84538003815
"Feb 22, 2026 @ 19:24:38.000",Rebel,naboo,gcw_region_naboo_6,factional presence,2,0.2375,169900230374
"Feb 22, 2026 @ 19:25:21.000",Imperial,talus,gcw_region_talus_3,factional presence,10,1,159914410428
"Feb 22, 2026 @ 19:25:37.000",Rebel,corellia,gcw_region_corellia_2,factional presence,10,1,177678543136
"Feb 22, 2026 @ 19:26:38.000",Rebel,corellia,gcw_region_corellia_12,factional presence,10,1,177678543136
"Feb 22, 2026 @ 19:26:50.000",Rebel,tatooine,gcw_region_tatooine_9,factional presence,10,1,118481331736
"Feb 22, 2026 @ 19:27:22.000",Imperial,naboo,gcw_region_naboo_6,factional presence,10,1,84538003815
"Feb 22, 2026 @ 19:27:45.000",Imperial,tatooine,gcw_region_tatooine_9,factional presence,10,1,157933025923
"Feb 22, 2026 @ 19:28:07.000",Imperial,corellia,gcw_region_corellia_10,factional presence,10,1,124360886465
"Feb 22, 2026 @ 19:30:14.000",Imperial,naboo,gcw_region_naboo_6,building up an Invasion,250,1,-292452502778781373
"Feb 22, 2026 @ 19:30:14.000",Rebel,naboo,gcw_region_naboo_6,building up an Invasion,250,1,-292452502778781373
"Feb 22, 2026 @ 19:30:24.000",Imperial,talus,gcw_region_talus_3,factional presence,10,1,159914410428
"Feb 22, 2026 @ 19:31:43.000",Rebel,corellia,gcw_region_corellia_12,factional presence,10,1,177678543136
"Feb 22, 2026 @ 19:32:08.000",Imperial,talus,gcw_region_talus_5,factional presence,10,1,181359367949
"Feb 22, 2026 @ 19:32:26.000",Imperial,naboo,gcw_region_naboo_6,factional presence,10,1,76937729818
"Feb 22, 2026 @ 19:32:50.000",Imperial,rori,gcw_region_rori_3,factional presence,10,1,1698005099
"Feb 22, 2026 @ 19:32:51.000",Imperial,rori,gcw_region_rori_3,a Restuss PvE mission completion,25,1,1698005099
"Feb 22, 2026 @ 19:33:27.000",Imperial,corellia,gcw_region_corellia_12,factional presence,10,1,84538003815
"Feb 22, 2026 @ 19:34:26.000",Imperial,naboo,gcw_region_naboo_4,factional presence,10,1,76937729818
"Feb 22, 2026 @ 19:34:52.000",Imperial,corellia,gcw_region_corellia_10,factional presence,10,1,167987239681
"Feb 22, 2026 @ 19:35:26.000",Imperial,rori,gcw_region_rori_3,a Restuss PvE mission completion,25,1,119473808337
"Feb 22, 2026 @ 19:37:12.000",Imperial,talus,gcw_region_talus_5,factional presence,10,1,124360886465
"Feb 22, 2026 @ 19:37:40.000",Imperial,naboo,gcw_region_naboo_6,factional presence,10,1,122555868180
"Feb 22, 2026 @ 19:38:52.000",Imperial,naboo,gcw_region_naboo_10,factional presence,10,1,180677267685
"Feb 22, 2026 @ 19:41:34.000",Imperial,naboo,gcw_region_naboo_13,factional presence,12,1.241546,84538003815
"Feb 22, 2026 @ 19:42:15.000",Imperial,talus,gcw_region_talus_5,factional presence,10,1,124360886465
"Feb 22, 2026 @ 19:42:44.000",Imperial,naboo,gcw_region_naboo_6,factional presence,10,1,122555868180
"Feb 22, 2026 @ 19:47:47.000",Imperial,naboo,gcw_region_naboo_6,factional presence,10,1,122555868180
"Feb 22, 2026 @ 19:52:51.000",Imperial,naboo,gcw_region_naboo_6,factional presence,10,1,122555868180
"Feb 22, 2026 @ 19:57:54.000",Imperial,naboo,gcw_region_naboo_6,factional presence,10,1,122555868180
"Feb 22, 2026 @ 20:04:05.000",Imperial,rori,gcw_region_rori_3,factional presence,10,1,47730406695
"Feb 22, 2026 @ 20:07:30.000",Imperial,tatooine,gcw_region_tatooine_11,factional presence,10,1,120196799670
"Feb 22, 2026 @ 20:08:10.000",Imperial,talus,gcw_region_talus_5,factional presence,10,1,167987239681
"Feb 22, 2026 @ 20:09:08.000",Imperial,rori,gcw_region_rori_3,factional presence,10,1,47730406695
"Feb 22, 2026 @ 20:11:20.000",Imperial,naboo,gcw_region_naboo_4,factional presence,10,1,119473808337
"Feb 22, 2026 @ 20:11:22.000",Imperial,rori,gcw_region_rori_3,a Restuss PvE mission completion,25,1,139601218162
"Feb 22, 2026 @ 20:13:22.000",Imperial,talus,gcw_region_talus_5,factional presence,10,1,119473808337
"Feb 22, 2026 @ 20:14:10.000",Imperial,rori,gcw_region_rori_3,factional presence,10,1,47730406695
"Feb 22, 2026 @ 20:16:25.000",Imperial,naboo,gcw_region_naboo_13,factional presence,12,1.1691886,119473808337
"Feb 22, 2026 @ 20:16:34.000",Imperial,naboo,gcw_region_naboo_1,delivering supplies (PvE),100,2,127993362899
"Feb 22, 2026 @ 20:19:13.000",Imperial,rori,gcw_region_rori_3,factional presence,10,1,47730406695
"Feb 22, 2026 @ 20:20:36.000",Imperial,talus,gcw_region_talus_5,factional presence,10,1,139601218162
"Feb 22, 2026 @ 20:23:22.000",Imperial,naboo,gcw_region_naboo_13,factional presence,12,1.1691893,119473808337
"Feb 22, 2026 @ 20:24:14.000",Imperial,rori,gcw_region_rori_3,factional presence,10,1,47730406695
"Feb 22, 2026 @ 20:24:33.000",Imperial,tatooine,gcw_region_tatooine_11,factional presence,10,1,126869524760
"Feb 22, 2026 @ 20:29:23.000",Rebel,tatooine,gcw_region_tatooine_2,delivering supplies (PvE),50,1,71138715384
"Feb 22, 2026 @ 20:29:44.000",Imperial,tatooine,gcw_region_tatooine_11,factional presence,10,1,89623291459
"Feb 22, 2026 @ 20:33:21.000",Imperial,corellia,gcw_region_corellia_5,factional presence,10,1,47730406695
"Feb 22, 2026 @ 20:33:46.000",Rebel,corellia,gcw_region_corellia_5,delivering supplies (PvE),100,2,161508323638
"Feb 22, 2026 @ 20:35:13.000",Rebel,corellia,gcw_region_corellia_6,delivering supplies (PvE),50,1,18165210531
"Feb 22, 2026 @ 20:35:23.000",Imperial,tatooine,gcw_region_tatooine_11,factional presence,10,1,47730406695
"Feb 22, 2026 @ 20:40:42.000",Imperial,naboo,gcw_region_naboo_1,delivering supplies (PvE),50,1,128904700358
"Feb 22, 2026 @ 20:40:51.000",Imperial,corellia,gcw_region_corellia_5,factional presence,10,1,89623291459
"Feb 22, 2026 @ 20:42:34.000",Rebel,tatooine,gcw_region_tatooine_2,delivering supplies (PvE),50,1,27121037261
"Feb 22, 2026 @ 20:45:52.000",Imperial,corellia,gcw_region_corellia_5,factional presence,10,1,89623291459
"Feb 22, 2026 @ 20:47:35.000",Imperial,corellia,gcw_region_corellia_10,factional presence,10,1,47730406695
"Feb 22, 2026 @ 20:52:36.000",Rebel,tatooine,gcw_region_tatooine_13,factional presence,10,1,18165210531
"Feb 22, 2026 @ 20:53:39.000",Imperial,corellia,gcw_region_corellia_8,factional presence,10,1,47730406695
"Feb 22, 2026 @ 20:54:32.000",Imperial,corellia,gcw_region_corellia_7,factional presence,10,1,139601218162
"Feb 22, 2026 @ 20:55:02.000",Rebel,rori,gcw_region_rori_3,factional presence,10,1,5877447540
"Feb 22, 2026 @ 20:57:37.000",Rebel,tatooine,gcw_region_tatooine_13,factional presence,10,1,18165210531
"Feb 22, 2026 @ 20:57:38.000",Imperial,corellia,gcw_region_corellia_5,factional presence,10,1,180445966979
"Feb 22, 2026 @ 20:58:38.000",Rebel,tatooine,gcw_region_tatooine_13,factional presence,10,1,18165210531
"Feb 22, 2026 @ 20:59:35.000",Imperial,rori,gcw_region_rori_3,factional presence,10,1,119473808337
"Feb 22, 2026 @ 21:00:05.000",Rebel,rori,gcw_region_rori_3,factional presence,10,1,5877447540
"Feb 22, 2026 @ 21:02:39.000",Rebel,dantooine,gcw_region_dantooine_7,delivering supplies (PvE),50,1,143443118617
"Feb 22, 2026 @ 21:03:39.000",Rebel,tatooine,gcw_region_tatooine_13,factional presence,10,1,18165210531
"Feb 22, 2026 @ 21:04:01.000",Imperial,corellia,gcw_region_corellia_13,factional presence,10,1,89623291459
"Feb 22, 2026 @ 21:04:36.000",Imperial,rori,gcw_region_rori_3,factional presence,10,1,139601218162
"Feb 22, 2026 @ 21:05:07.000",Rebel,rori,gcw_region_rori_3,factional presence,10,1,5877447540
"Feb 22, 2026 @ 21:05:37.000",Rebel,tatooine,gcw_region_tatooine_13,winning a Flashpoint,1000,1,-226587356299548082
"Feb 22, 2026 @ 21:05:37.000",Rebel,tatooine,gcw_region_tatooine_13,participating in a Flashpoint,1500,1,-226587356299548082
"Feb 22, 2026 @ 21:06:40.000",Rebel,tatooine,gcw_region_tatooine_11,factional presence,10,1,18165210531
"Feb 22, 2026 @ 21:09:38.000",Imperial,rori,gcw_region_rori_3,factional presence,10,1,139601218162
"Feb 22, 2026 @ 21:10:08.000",Rebel,rori,gcw_region_rori_3,factional presence,10,1,5877447540
"Feb 22, 2026 @ 21:11:43.000",Rebel,tatooine,gcw_region_tatooine_11,factional presence,10,1,18165210531
"Feb 22, 2026 @ 21:12:48.000",Imperial,dantooine,gcw_region_dantooine_1,factional presence,11,1.1185443,180445966979
"Feb 22, 2026 @ 21:14:41.000",Imperial,rori,gcw_region_rori_3,factional presence,10,1,139601218162
"Feb 22, 2026 @ 21:19:46.000",Imperial,rori,gcw_region_rori_3,factional presence,10,1,139601218162
"Feb 22, 2026 @ 21:21:08.000",Rebel,rori,gcw_region_rori_3,factional presence,10,1,6345560042
"Feb 22, 2026 @ 21:21:53.000",Imperial,dantooine,gcw_region_dantooine_1,factional presence,11,1.1185453,180445966979
"Feb 22, 2026 @ 21:24:50.000",Imperial,rori,gcw_region_rori_3,factional presence,10,1,119473808337
"Feb 22, 2026 @ 21:26:10.000",Rebel,rori,gcw_region_rori_3,factional presence,10,1,6345560042
"Feb 22, 2026 @ 21:26:18.000",Imperial,naboo,gcw_region_naboo_1,delivering supplies (PvE),50,1,132229245640
"Feb 22, 2026 @ 21:28:13.000",Imperial,tatooine,gcw_region_tatooine_9,factional presence,10,1,183787148745
